"lang"
{
"Language"	"korean"
"Tokens"
{
"Close"	"닫기"
"[english]Close"	"Close"
"CreditsTeam"	"팀"
"[english]CreditsTeam"	"Team"
"CreditsMainMenu"	"주 메뉴로 돌아가기"
"[english]CreditsMainMenu"	"Go to main menu"
"CreditsCreator"	"제작자"
"[english]CreditsCreator"	"Creator"
"CreditsVoices"	"성우"
"[english]CreditsVoices"	"Voices"
"CreditsPreviousVoices"	"전 성우"
"[english]CreditsPreviousVoices"	"Previous Voices"
"CreditsTranslators"	"번역가"
"[english]CreditsTranslators"	"Translators"
"CreditsTesters"	"테스터"
"[english]CreditsTesters"	"Testers"
"CreditsMacOSBuild"	"Mac OS용 개발자"
"[english]CreditsMacOSBuild"	"Mac OS Version"
"CreditsDanishTranslator"	"덴마크어 번역가"
"[english]CreditsDanishTranslator"	"Danish Translator"
"CreditsMapCompiler"	"맵 컴파일러"
"[english]CreditsMapCompiler"	"Map Compiler"
"CreditsTranslator"	"번역가"
"[english]CreditsTranslator"	"Translator"
"CreditsTester"	"테스터"
"[english]CreditsTester"	"Tester"
"CreditsPhotographer"	"사진가"
"[english]CreditsPhotographer"	"Photographer"
"CreditsProjectLead"	"프로젝트 기획자"
"[english]CreditsProjectLead"	"Project Lead"
"CreditsLevelDesigner"	"레벨 디자이너"
"[english]CreditsLevelDesigner"	"Level Designer"
"CreditsProgrammer"	"프로그래머"
"[english]CreditsProgrammer"	"Programmer"
"CreditsStoryDesigner"	"스토리 디자이너"
"[english]CreditsStoryDesigner"	"Story Designer"
"CreditsTextureArtist"	"텍스쳐 아티스트"
"[english]CreditsTextureArtist"	"Texture Artist"
"CreditsModelArtist"	"3D 모델 아티스트"
"[english]CreditsModelArtist"	"3D Model Artist"
"CreditsVoiceOf"	"목소리 출연"
"[english]CreditsVoiceOf"	"Voice of"
"CreditsLeadMusician"	"리드 뮤지션"
"[english]CreditsLeadMusician"	"Lead Musician"
"CreditsShaderArtist"	"쉐이더 아티스트"
"[english]CreditsShaderArtist"	"Shader Artist"
"CreditsOmnicorpThug"	"아르크 경비대 성우"
"[english]CreditsOmnicorpThug"	"Arque Thug"
"CreditsOmnicorpBroadcaster"	"방해 신호 성우"
"[english]CreditsOmnicorpBroadcaster"	"Arque Broadcaster"
"CreditsAudioDesigner"	"오디오 디자이너"
"[english]CreditsAudioDesigner"	"Audio Designer"
"CreditsOculusRift"	"Oculus Rift를 기부해주셨습니다"
"[english]CreditsOculusRift"	"Donated Oculus Rift"
"CreditsDonors"	"도움을 주신 분들"
"[english]CreditsDonors"	"Project Donors"
"CreditsSteamTranslation"	"The Steam Translation Server"
"[english]CreditsSteamTranslation"	"The Steam Translation Server"
"Workstation"	"작업대"
"[english]Workstation"	"Workstation"
"EndSession"	"세션을 종료할까요?"
"[english]EndSession"	"Do you want to end your session?"
"OK"	"확인"
"[english]OK"	"OK"
"Cancel"	"취소"
"[english]Cancel"	"Cancel"
"IconEmail"	"이메일"
"[english]IconEmail"	"Email"
"IconLogOff"	"로그오프"
"[english]IconLogOff"	"Log Off"
"IconDoorUnlock"	"잠금 해제"
"[english]IconDoorUnlock"	"Door Unlock"
"OnlyPrintIfNecessary"	"환경을 보호합시다. 필요할 때만 이 이메일을 인쇄하세요."
"[english]OnlyPrintIfNecessary"	"Save the environment. Only print this email if you have to."
"Incorrect"	"죄송하지만 틀렸습니다."
"[english]Incorrect"	"Sorry, that was incorrect."
"SecretPetName"	"알렉스"
"[english]SecretPetName"	"alex"
"DialogGenerator"	"발전기 콘솔"
"[english]DialogGenerator"	"Generator Console"
"DialogGeneratorOverHeat"	"주의: 발전기가 과열 중입니다"
"[english]DialogGeneratorOverHeat"	"WARNING: GENERATOR OVERHEATING"
"DialogGeneratorDisconnect"	"발전기 콘솔에서 로그아웃"
"[english]DialogGeneratorDisconnect"	"LOG OUT OF GENERATOR CONSOLE"
"YantoWardName"	"얀토 와드"
"[english]YantoWardName"	"Yanto Ward"
"YantoWardAccount"	"얀토 와드 < yanto.ward@arque.local >"
"[english]YantoWardAccount"	"Yanto Ward < yanto.ward@arque.local >"
"Pets_R_Us_Update"	"Pets Are Us 알림"
"[english]Pets_R_Us_Update"	"Pets Are Us Update"
"Pets_R_Us_UpdateSummary"	"와드 씨, 알렉스가 조금씩..."
"[english]Pets_R_Us_UpdateSummary"	"Mr Ward, Alex has recovered..."
"Pets_R_Us_From"	"Pets Are Us < judy@petsrus.com >"
"[english]Pets_R_Us_From"	"Pets Are Us < judy@petsrus.com >"
"Pets_R_Us_Line1"	"와드 씨,"
"[english]Pets_R_Us_Line1"	"Mr Ward,"
"Pets_R_Us_Line2"	"알렉스가 점점 회복되고 있으며 치료제에 대하여 별다른 거부 증상이 없습니다."
"[english]Pets_R_Us_Line2"	"Your dog Alex is recovering and has responded very well to the drugs we have been giving him."
"Pets_R_Us_Line3"	"알렉스를 월요일쯤에 데리러 오실 수 있을 것 같아요."
"[english]Pets_R_Us_Line3"	"You will be able to collect Alex on Monday."
"Pets_R_Us_Line4"	"감사합니다,"
"[english]Pets_R_Us_Line4"	"Thanks,"
"Pets_R_Us_Line5"	"주디 페란드가."
"[english]Pets_R_Us_Line5"	"Judy Ferrand."
"WhatIsThatSmell"	"이게 뭔 냄새야"
"[english]WhatIsThatSmell"	"WHAT IS THAT SMELL"
"Srsly"	"정말"
"[english]Srsly"	"seriously"
"NigelHeathcoat"	"나이젤 히스코트 < nigel@arque.local >"
"[english]NigelHeathcoat"	"Nigel Heathcoat < nigel@arque.local >"
"HaveYouSeenMyLunch"	"내 점심 본 적 있어?"
"[english]HaveYouSeenMyLunch"	"Have you seen my lunch?"
"HaveYouSeenMyLunchSummary"	"저기, 내..."
"[english]HaveYouSeenMyLunchSummary"	"Hey, Have you seen my..."
"FrancisRobella"	"프란시스 로벨라 < francis@arque.local >"
"[english]FrancisRobella"	"Francis Robella < francis@arque.local >"
"FrancisRobellaLine1"	"안녕,"
"[english]FrancisRobellaLine1"	"Hey,"
"FrancisRobellaLine2"	"내 점심 본 적 있어? 냉장고에 뒀더니 없어졌더라. 그 사람이 훔친 거면 이번에는 가만두지 않겠어. 맨날 내 물건을 훔쳐간다고!"
"[english]FrancisRobellaLine2"	"Have you seen my lunch? I left it in the fridge and it's gone. If she's stolen it again i'll snap. She's always stealing my things!"
"FrancisRobellaLine3"	"프란시스"
"[english]FrancisRobellaLine3"	"Francis"
"PleaseEnterSecretAnswer"	"계속하려면 비밀 질문의 답을 입력해 주십시오:"
"[english]PleaseEnterSecretAnswer"	"Please enter the answer to the secret question to continue:"
"NameOfPet"	"내 애완동물의 이름은?"
"[english]NameOfPet"	"What is the name of your pet?"
"UnlockAllDoorsPrompt"	"아래 버튼으로 노란색 층에 있는 모든 문의 잠금을 해제할 수 있습니다."
"[english]UnlockAllDoorsPrompt"	"Use the button below to unlock all doors on yellow floor."
"UnlockAllDoors"	"모든 문 잠금 해제"
"[english]UnlockAllDoors"	"Unlock All Doors"
"DoorsAreUnlocked"	"노란색 층의 모든 문이 현재 잠겨 있지 않습니다."
"[english]DoorsAreUnlocked"	"All doors on yellow floor are currently unlocked."
"Image1"	"IMG_0270_104942.JPEG"
"[english]Image1"	"IMG_0270_104942.JPEG"
"Image2"	"IMG_0430_104912.JPEG"
"[english]Image2"	"IMG_0430_104912.JPEG"
"Image3"	"IMG_0430_104944.JPEG"
"[english]Image3"	"IMG_0430_104944.JPEG"
"Image4"	"IMG_0470_104454.JPEG"
"[english]Image4"	"IMG_0470_104454.JPEG"
"Image5"	"IMG_0437_104954.JPEG"
"[english]Image5"	"IMG_0437_104954.JPEG"
"Image6"	"IMG_0440_104964.JPEG"
"[english]Image6"	"IMG_0440_104964.JPEG"
"Image7"	"IMG_0437_104964.JPEG"
"[english]Image7"	"IMG_0437_104964.JPEG"
"Image8"	"IMG_034324_432432.MP4"
"[english]Image8"	"IMG_034324_432432.MP4"
"ChristianPlitheName"	"크리스티안 플라이스"
"[english]ChristianPlitheName"	"Christian Plithe"
"ChristianPlitheAccount"	"크리스티안 플라이스 < christian.plithe@arque.local >"
"[english]ChristianPlitheAccount"	"Christian Plithe < christian.plithe@arque.local >"
"LunchRoomTitle"	"식사실"
"[english]LunchRoomTitle"	"Lunch Room"
"LunchRoomSummary"	"크리스티안, 난..."
"[english]LunchRoomSummary"	"Christian, I can't stop..."
