"lang"
{
"Language"	"portuguese"
"Tokens"
{
"Close"	"para fechar"
"[english]Close"	"Close"
"CreditsWithThanksTo"	"Agradecimentos a"
"[english]CreditsWithThanksTo"	"With thanks to"
"CreditsTeam"	"Equipa de Desenvolvimento"
"[english]CreditsTeam"	"Team"
"CreditsMainMenu"	"Voltar ao menu principal"
"[english]CreditsMainMenu"	"Go to main menu"
"CreditsCreator"	"Criador"
"[english]CreditsCreator"	"Creator"
"CreditsVoices"	"Vozes"
"[english]CreditsVoices"	"Voices"
"CreditsPreviousVoices"	"Vozes Anteriores"
"[english]CreditsPreviousVoices"	"Previous Voices"
"CreditsTranslators"	"Tradutores"
"[english]CreditsTranslators"	"Translators"
"CreditsTesters"	"Testadores"
"[english]CreditsTesters"	"Testers"
"CreditsMacOSBuild"	"Versão Mac OS"
"[english]CreditsMacOSBuild"	"Mac OS Version"
"CreditsDanishTranslator"	"Tradutor de Dinamarquês"
"[english]CreditsDanishTranslator"	"Danish Translator"
"CreditsMapCompiler"	"Compilador de Mapas"
"[english]CreditsMapCompiler"	"Map Compiler"
"CreditsTranslator"	"Tradutor(a)"
"[english]CreditsTranslator"	"Translator"
"CreditsTester"	"Testador"
"[english]CreditsTester"	"Tester"
"CreditsPhotographer"	"Fotógrafo"
"[english]CreditsPhotographer"	"Photographer"
"CreditsGuitarSamples"	"Guitarrista"
"[english]CreditsGuitarSamples"	"Guitar Samples"
"CreditsProjectLead"	"Líder de Projeto"
"[english]CreditsProjectLead"	"Project Lead"
"CreditsLevelDesigner"	"Designer de Níveis"
"[english]CreditsLevelDesigner"	"Level Designer"
"CreditsProgrammer"	"Programador"
"[english]CreditsProgrammer"	"Programmer"
"CreditsStoryDesigner"	"Argumentista"
"[english]CreditsStoryDesigner"	"Story Designer"
"CreditsTextureArtist"	"Artista de Texturas"
"[english]CreditsTextureArtist"	"Texture Artist"
"CreditsModelArtist"	"Artista de Modelos 3D"
"[english]CreditsModelArtist"	"3D Model Artist"
"CreditsVoiceOf"	"Voz de"
"[english]CreditsVoiceOf"	"Voice of"
"CreditsLeadMusician"	"Músico Principal"
"[english]CreditsLeadMusician"	"Lead Musician"
"CreditsShaderArtist"	"Artista de Shaders"
"[english]CreditsShaderArtist"	"Shader Artist"
"CreditsOmnicorpThug"	"Guarda da Arque"
"[english]CreditsOmnicorpThug"	"Arque Thug"
"CreditsOmnicorpBroadcaster"	"Locutora da Arque"
"[english]CreditsOmnicorpBroadcaster"	"Arque Broadcaster"
"CreditsMirrorHosting"	"Hospedagem de Servidores"
"[english]CreditsMirrorHosting"	"Download Mirror Hosting"
"CreditsAudioDesigner"	"Designer de Áudio"
"[english]CreditsAudioDesigner"	"Audio Designer"
"CreditsOculusRift"	"Contribuição do Oculus Rift"
"[english]CreditsOculusRift"	"Donated Oculus Rift"
"CreditsDonors"	"Doações ao Projeto"
"[english]CreditsDonors"	"Project Donors"
"CreditsSteamTranslation"	"Steam Translation Server"
"[english]CreditsSteamTranslation"	"The Steam Translation Server"
"Workstation"	"Terminal nº"
"[english]Workstation"	"Workstation"
"EndSession"	"Deseja terminar a sua sessão?"
"[english]EndSession"	"Do you want to end your session?"
"OK"	"OK"
"[english]OK"	"OK"
"Cancel"	"Cancelar"
"[english]Cancel"	"Cancel"
"IconEmail"	"E-Mail"
"[english]IconEmail"	"Email"
"IconLogOff"	"Terminar Sessão"
"[english]IconLogOff"	"Log Off"
"IconDoorUnlock"	"Abertura de Portas"
"[english]IconDoorUnlock"	"Door Unlock"
"OnlyPrintIfNecessary"	"Proteja o ambiente. Imprima este e-mail só se for mesmo necessário."
"[english]OnlyPrintIfNecessary"	"Save the environment. Only print this email if you have to."
"Incorrect"	"Lamentamos, mas a resposta está incorreta."
"[english]Incorrect"	"Sorry, that was incorrect."
"SecretPetName"	"alex"
"[english]SecretPetName"	"alex"
"DialogGenerator"	"Painel de Controlo de Gerador"
"[english]DialogGenerator"	"Generator Console"
"DialogGeneratorOverHeat"	"AVISO: GERADOR A SOBREAQUECER"
"[english]DialogGeneratorOverHeat"	"WARNING: GENERATOR OVERHEATING"
"DialogGeneratorDisconnect"	"DESCONECTAR PAINEL DE CONTROLO DE GERADOR"
"[english]DialogGeneratorDisconnect"	"LOG OUT OF GENERATOR CONSOLE"
"YantoWardName"	"Yanto Ward"
"[english]YantoWardName"	"Yanto Ward"
"YantoWardAccount"	"Yanto Ward < yanto.ward@arque.local >"
"[english]YantoWardAccount"	"Yanto Ward < yanto.ward@arque.local >"
"Pets_R_Us_Update"	"Notícias da Pets Are Us"
"[english]Pets_R_Us_Update"	"Pets Are Us Update"
"Pets_R_Us_UpdateSummary"	"Sr. Ward, o Alex recuperou..."
"[english]Pets_R_Us_UpdateSummary"	"Mr Ward, Alex has recovered..."
"Pets_R_Us_From"	"Pets Are Us < judy@petsrus.com >"
"[english]Pets_R_Us_From"	"Pets Are Us < judy@petsrus.com >"
"Pets_R_Us_Line1"	"Sr. Ward,"
"[english]Pets_R_Us_Line1"	"Mr Ward,"
"Pets_R_Us_Line2"	"O seu cão Alex está a recuperar e reagiu muito bem aos medicamentos que lhe temos dado."
"[english]Pets_R_Us_Line2"	"Your dog Alex is recovering and has responded very well to the drugs we have been giving him."
"Pets_R_Us_Line3"	"Poderá buscar o Alex na segunda-feira."
"[english]Pets_R_Us_Line3"	"You will be able to collect Alex on Monday."
"Pets_R_Us_Line4"	"Obrigada,"
"[english]Pets_R_Us_Line4"	"Thanks,"
"Pets_R_Us_Line5"	"Judy Ferrand"
"[english]Pets_R_Us_Line5"	"Judy Ferrand."
"WhatIsThatSmell"	"QUE CHEIRO É ESTE"
"[english]WhatIsThatSmell"	"WHAT IS THAT SMELL"
"Srsly"	"sinceramente..."
"[english]Srsly"	"seriously"
"NigelHeathcoat"	"Nigel Heathcoat < nigel@arque.local >"
"[english]NigelHeathcoat"	"Nigel Heathcoat < nigel@arque.local >"
"HaveYouSeenMyLunch"	"Viste o meu almoço?"
"[english]HaveYouSeenMyLunch"	"Have you seen my lunch?"
"HaveYouSeenMyLunchSummary"	"Oi, viste o meu..."
"[english]HaveYouSeenMyLunchSummary"	"Hey, Have you seen my..."
"FrancisRobella"	"Francis Robella < francis@arque.local >"
"[english]FrancisRobella"	"Francis Robella < francis@arque.local >"
"FrancisRobellaLine1"	"Oi,"
"[english]FrancisRobellaLine1"	"Hey,"
"FrancisRobellaLine2"	"Viste o meu almoço? Deixei-o no frigorífico e desapareceu. Se descobrir que ela mo tirou de novo vou ficar irritado. Ela está sempre a roubar as minhas coisas!"
"[english]FrancisRobellaLine2"	"Have you seen my lunch? I left it in the fridge and it's gone. If she's stolen it again i'll snap. She's always stealing my things!"
"FrancisRobellaLine3"	"Francis"
"[english]FrancisRobellaLine3"	"Francis"
"PleaseEnterSecretAnswer"	"Por favor, introduza a resposta correta à pergunta secreta para prosseguir:"
"[english]PleaseEnterSecretAnswer"	"Please enter the answer to the secret question to continue:"
"NameOfPet"	"Qual é o nome do seu animal de estimação?"
"[english]NameOfPet"	"What is the name of your pet?"
"UnlockAllDoorsPrompt"	"Clique no botão abaixo para desbloquear todas as portas no piso amarelo."
"[english]UnlockAllDoorsPrompt"	"Use the button below to unlock all doors on yellow floor."
"UnlockAllDoors"	"Desbloquear Todas as Portas"
"[english]UnlockAllDoors"	"Unlock All Doors"
"DoorsAreUnlocked"	"Todas as portas no piso amarelo estão agora desbloqueadas."
"[english]DoorsAreUnlocked"	"All doors on yellow floor are currently unlocked."
"Image1"	"IMG_0270_104942.JPEG"
"[english]Image1"	"IMG_0270_104942.JPEG"
"Image2"	"IMG_0430_104912.JPEG"
"[english]Image2"	"IMG_0430_104912.JPEG"
"Image3"	"IMG_0430_104944.JPEG"
"[english]Image3"	"IMG_0430_104944.JPEG"
"Image4"	"IMG_0470_104454.JPEG"
"[english]Image4"	"IMG_0470_104454.JPEG"
"Image5"	"IMG_0437_104954.JPEG"
"[english]Image5"	"IMG_0437_104954.JPEG"
"Image6"	"IMG_0440_104964.JPEG"
"[english]Image6"	"IMG_0440_104964.JPEG"
"Image7"	"IMG_0437_104964.JPEG"
"[english]Image7"	"IMG_0437_104964.JPEG"
"Image8"	"MOV_034324_432432.MP4"
"[english]Image8"	"IMG_034324_432432.MP4"
"ChristianPlitheName"	"Christian Plithe"
"[english]ChristianPlitheName"	"Christian Plithe"
"ChristianPlitheAccount"	"Christian Plithe < christian.plithe@arque.local >"
"[english]ChristianPlitheAccount"	"Christian Plithe < christian.plithe@arque.local >"
"LunchRoomTitle"	"Refeitório"
"[english]LunchRoomTitle"	"Lunch Room"
"LunchRoomSummary"	"Christian, não consigo parar..."
