"lang"
{
"Language"	"polish"
"Tokens"
{
"Close"	"Zamknij"
"[english]Close"	"Close"
"CreditsWithThanksTo"	"Z podziękowaniami dla"
"[english]CreditsWithThanksTo"	"With thanks to"
"CreditsTeam"	"Zespół"
"[english]CreditsTeam"	"Team"
"CreditsMainMenu"	"Wróć do głównego menu"
"[english]CreditsMainMenu"	"Go to main menu"
"CreditsCreator"	"Autor"
"[english]CreditsCreator"	"Creator"
"CreditsVoices"	"Głosy"
"[english]CreditsVoices"	"Voices"
"CreditsPreviousVoices"	"Poprzednie dialogi"
"[english]CreditsPreviousVoices"	"Previous Voices"
"CreditsTranslators"	"Tłumacze"
"[english]CreditsTranslators"	"Translators"
"CreditsTesters"	"Testerzy"
"[english]CreditsTesters"	"Testers"
"CreditsMacOSBuild"	"Wersja na Mac OS"
"[english]CreditsMacOSBuild"	"Mac OS Version"
"CreditsDanishTranslator"	"Duński tłumacz"
"[english]CreditsDanishTranslator"	"Danish Translator"
"CreditsMapCompiler"	"Kompilator map"
"[english]CreditsMapCompiler"	"Map Compiler"
"CreditsTranslator"	"Tłumacz"
"[english]CreditsTranslator"	"Translator"
"CreditsTester"	"Tester"
"[english]CreditsTester"	"Tester"
"CreditsPhotographer"	"Fotograf"
"[english]CreditsPhotographer"	"Photographer"
"CreditsGuitarSamples"	"Sample gitarowe"
"[english]CreditsGuitarSamples"	"Guitar Samples"
"CreditsProjectLead"	"Kierownik projektu"
"[english]CreditsProjectLead"	"Project Lead"
"CreditsLevelDesigner"	"Projektant poziomów"
"[english]CreditsLevelDesigner"	"Level Designer"
"CreditsProgrammer"	"Programista"
"[english]CreditsProgrammer"	"Programmer"
"CreditsStoryDesigner"	"Projektant fabuły"
"[english]CreditsStoryDesigner"	"Story Designer"
"CreditsTextureArtist"	"Autor tekstur"
"[english]CreditsTextureArtist"	"Texture Artist"
"CreditsModelArtist"	"Grafik 3D"
"[english]CreditsModelArtist"	"3D Model Artist"
"CreditsVoiceOf"	"Głos"
"[english]CreditsVoiceOf"	"Voice of"
"CreditsLeadMusician"	"Główny muzyk"
"[english]CreditsLeadMusician"	"Lead Musician"
"CreditsShaderArtist"	"Artysta shaderów"
"[english]CreditsShaderArtist"	"Shader Artist"
"CreditsOmnicorpThug"	"Zbir Arque"
"[english]CreditsOmnicorpThug"	"Arque Thug"
"CreditsOmnicorpBroadcaster"	"Spiker Arque"
"[english]CreditsOmnicorpBroadcaster"	"Arque Broadcaster"
"CreditsMirrorHosting"	"Hosting alternatywnych źródeł pobierania"
"[english]CreditsMirrorHosting"	"Download Mirror Hosting"
"CreditsAudioDesigner"	"Projektant dźwięku"
"[english]CreditsAudioDesigner"	"Audio Designer"
"CreditsOculusRift"	"Ofiarodawca Oculus Rift"
"[english]CreditsOculusRift"	"Donated Oculus Rift"
"CreditsDonors"	"Sponsorzy projektu"
"[english]CreditsDonors"	"Project Donors"
"CreditsSteamTranslation"	"Steam Translation Server"
"[english]CreditsSteamTranslation"	"The Steam Translation Server"
"Workstation"	"Stacja robocza"
"[english]Workstation"	"Workstation"
"EndSession"	"Zakończyć sesję?"
"[english]EndSession"	"Do you want to end your session?"
"OK"	"OK"
"[english]OK"	"OK"
"Cancel"	"Anuluj"
"[english]Cancel"	"Cancel"
"IconEmail"	"E-mail"
"[english]IconEmail"	"Email"
"IconLogOff"	"Wyloguj się"
"[english]IconLogOff"	"Log Off"
"IconDoorUnlock"	"Odblokuj drzwi"
"[english]IconDoorUnlock"	"Door Unlock"
"OnlyPrintIfNecessary"	"Chroń środowisko. Wydrukuj tę wiadomość tylko, jeśli musisz."
"[english]OnlyPrintIfNecessary"	"Save the environment. Only print this email if you have to."
"Incorrect"	"Przepraszamy, było to niepoprawne."
"[english]Incorrect"	"Sorry, that was incorrect."
"SecretPetName"	"alex"
"[english]SecretPetName"	"alex"
"DialogGenerator"	"Konsola generatora"
"[english]DialogGenerator"	"Generator Console"
"DialogGeneratorOverHeat"	"UWAGA: PRZEGRZANIE GENERATORA"
"[english]DialogGeneratorOverHeat"	"WARNING: GENERATOR OVERHEATING"
"DialogGeneratorDisconnect"	"WYLOGUJ SIĘ Z KONSOLI GENERATORA"
"[english]DialogGeneratorDisconnect"	"LOG OUT OF GENERATOR CONSOLE"
"YantoWardName"	"Yanto Ward"
"[english]YantoWardName"	"Yanto Ward"
"YantoWardAccount"	"Yanto Ward < yanto.ward@arque.local >"
"[english]YantoWardAccount"	"Yanto Ward < yanto.ward@arque.local >"
"Pets_R_Us_Update"	"Aktualizacja Pets Are Us"
"[english]Pets_R_Us_Update"	"Pets Are Us Update"
"Pets_R_Us_UpdateSummary"	"Panie Ward, Alex wyzdrowiał..."
"[english]Pets_R_Us_UpdateSummary"	"Mr Ward, Alex has recovered..."
"Pets_R_Us_From"	"Pets Are Us < judy@petsrus.com >"
"[english]Pets_R_Us_From"	"Pets Are Us < judy@petsrus.com >"
"Pets_R_Us_Line1"	"Panie Ward,"
"[english]Pets_R_Us_Line1"	"Mr Ward,"
"Pets_R_Us_Line2"	"Pański pies, Alex, dochodzi do siebie i bardzo dobrze reaguje na podawane mu leki."
"[english]Pets_R_Us_Line2"	"Your dog Alex is recovering and has responded very well to the drugs we have been giving him."
"Pets_R_Us_Line3"	"Będzie Pan mógł odebrać Alexa w poniedziałek."
"[english]Pets_R_Us_Line3"	"You will be able to collect Alex on Monday."
"Pets_R_Us_Line4"	"Podziękowania,"
"[english]Pets_R_Us_Line4"	"Thanks,"
"Pets_R_Us_Line5"	"Judy Ferrand."
"[english]Pets_R_Us_Line5"	"Judy Ferrand."
"WhatIsThatSmell"	"CO TO ZA SMRÓD"
"[english]WhatIsThatSmell"	"WHAT IS THAT SMELL"
"Srsly"	"serio"
"[english]Srsly"	"seriously"
"NigelHeathcoat"	"Nigel Heathcoat < nigel@arque.local >"
"[english]NigelHeathcoat"	"Nigel Heathcoat < nigel@arque.local >"
"HaveYouSeenMyLunch"	"Widziałeś mój lunch?"
"[english]HaveYouSeenMyLunch"	"Have you seen my lunch?"
"HaveYouSeenMyLunchSummary"	"Hej, widziałeś mój..."
"[english]HaveYouSeenMyLunchSummary"	"Hey, Have you seen my..."
"FrancisRobella"	"Francis Robella < francis@arque.local >"
"[english]FrancisRobella"	"Francis Robella < francis@arque.local >"
"FrancisRobellaLine1"	"Hej,"
"[english]FrancisRobellaLine1"	"Hey,"
"FrancisRobellaLine2"	"Widzialeś mój lunch? Zostawiłem go w lodówce i zniknął. Jeśli ona znowu go ukradła, to nie ręczę za siebie. Ona zawsze kradnie moje rzeczy!"
"[english]FrancisRobellaLine2"	"Have you seen my lunch? I left it in the fridge and it's gone. If she's stolen it again i'll snap. She's always stealing my things!"
"FrancisRobellaLine3"	"Francis"
"[english]FrancisRobellaLine3"	"Francis"
"PleaseEnterSecretAnswer"	"Podaj odpowiedź na tajne pytanie, aby kontynuować:"
"[english]PleaseEnterSecretAnswer"	"Please enter the answer to the secret question to continue:"
"NameOfPet"	"Jak wabi się twój zwierzak?"
"[english]NameOfPet"	"What is the name of your pet?"
"UnlockAllDoorsPrompt"	"Użyj przycisku poniżej, aby otworzyć wszystkie drzwi na żółtym piętrze."
"[english]UnlockAllDoorsPrompt"	"Use the button below to unlock all doors on yellow floor."
"UnlockAllDoors"	"Otwórz wszystkie drzwi"
"[english]UnlockAllDoors"	"Unlock All Doors"
"DoorsAreUnlocked"	"Wszystkie drzwi na żółtym piętrze są obecnie otwarte."
"[english]DoorsAreUnlocked"	"All doors on yellow floor are currently unlocked."
"Image1"	"IMG_0270_104942.JPEG"
"[english]Image1"	"IMG_0270_104942.JPEG"
"Image2"	"IMG_0430_104912.JPEG"
"[english]Image2"	"IMG_0430_104912.JPEG"
"Image3"	"IMG_0430_104944.JPEG"
"[english]Image3"	"IMG_0430_104944.JPEG"
"Image4"	"IMG_0470_104454.JPEG"
"[english]Image4"	"IMG_0470_104454.JPEG"
"Image5"	"IMG_0437_104954.JPEG"
"[english]Image5"	"IMG_0437_104954.JPEG"
"Image6"	"IMG_0440_104964.JPEG"
"[english]Image6"	"IMG_0440_104964.JPEG"
"Image7"	"IMG_0437_104964.JPEG"
"[english]Image7"	"IMG_0437_104964.JPEG"
"Image8"	"IMG_034324_432432.MP4"
"[english]Image8"	"IMG_034324_432432.MP4"
"ChristianPlitheName"	"Christian Plithe"
"[english]ChristianPlitheName"	"Christian Plithe"
"ChristianPlitheAccount"	"Christian Plithe < christian.plithe@arque.local >"
"[english]ChristianPlitheAccount"	"Christian Plithe < christian.plithe@arque.local >"
"LunchRoomTitle"	"Stołówka"
"[english]LunchRoomTitle"	"Lunch Room"
"LunchRoomSummary"	"Christian, nie mogę przestać..."
