"lang"
{
"Language"	"swedish"
"Tokens"
{
"Close"	"Stäng"
"[english]Close"	"Close"
"CreditsWithThanksTo"	"Med tack till"
"[english]CreditsWithThanksTo"	"With thanks to"
"CreditsTeam"	"Arbetslag"
"[english]CreditsTeam"	"Team"
"CreditsMainMenu"	"Gå till huvudmeny"
"[english]CreditsMainMenu"	"Go to main menu"
"CreditsCreator"	"Skapare"
"[english]CreditsCreator"	"Creator"
"CreditsVoices"	"Röster"
"[english]CreditsVoices"	"Voices"
"CreditsPreviousVoices"	"Tidigare röster"
"[english]CreditsPreviousVoices"	"Previous Voices"
"CreditsTranslators"	"Översättare"
"[english]CreditsTranslators"	"Translators"
"CreditsTesters"	"Testare"
"[english]CreditsTesters"	"Testers"
"CreditsMacOSBuild"	"Mac OS-version"
"[english]CreditsMacOSBuild"	"Mac OS Version"
"CreditsDanishTranslator"	"Dansk översättare"
"[english]CreditsDanishTranslator"	"Danish Translator"
"CreditsMapCompiler"	"Kartsammanställare"
"[english]CreditsMapCompiler"	"Map Compiler"
"CreditsTranslator"	"Översättare"
"[english]CreditsTranslator"	"Translator"
"CreditsTester"	"Testare"
"[english]CreditsTester"	"Tester"
"CreditsPhotographer"	"Fotograf"
"[english]CreditsPhotographer"	"Photographer"
"CreditsGuitarSamples"	"Gitarrstycken"
"[english]CreditsGuitarSamples"	"Guitar Samples"
"CreditsProjectLead"	"Projektledare"
"[english]CreditsProjectLead"	"Project Lead"
"CreditsLevelDesigner"	"Bankonstruktör"
"[english]CreditsLevelDesigner"	"Level Designer"
"CreditsProgrammer"	"Programmerare"
"[english]CreditsProgrammer"	"Programmer"
"CreditsStoryDesigner"	"Berättelsekonstruktör"
"[english]CreditsStoryDesigner"	"Story Designer"
"CreditsTextureArtist"	"Texturgrafiker"
"[english]CreditsTextureArtist"	"Texture Artist"
"CreditsModelArtist"	"3D-modellerare"
"[english]CreditsModelArtist"	"3D Model Artist"
"CreditsVoiceOf"	"Rösten till"
"[english]CreditsVoiceOf"	"Voice of"
"CreditsLeadMusician"	"Huvudmusiker"
"[english]CreditsLeadMusician"	"Lead Musician"
"CreditsOmnicorpThug"	"Arque-skurk"
"[english]CreditsOmnicorpThug"	"Arque Thug"
"CreditsOmnicorpBroadcaster"	"Arque-utsändare"
"[english]CreditsOmnicorpBroadcaster"	"Arque Broadcaster"
"CreditsMirrorHosting"	"Värd för nedladdningsspeglar"
"[english]CreditsMirrorHosting"	"Download Mirror Hosting"
"CreditsAudioDesigner"	"Ljuddesigner"
"[english]CreditsAudioDesigner"	"Audio Designer"
"CreditsOculusRift"	"Donerade Oculus Rift"
"[english]CreditsOculusRift"	"Donated Oculus Rift"
"CreditsDonors"	"Projektdonatorer"
"[english]CreditsDonors"	"Project Donors"
"CreditsSteamTranslation"	"Steam Translation Server"
"[english]CreditsSteamTranslation"	"The Steam Translation Server"
"Workstation"	"Arbetsplats"
"[english]Workstation"	"Workstation"
"EndSession"	"Vill du avsluta din session?"
"[english]EndSession"	"Do you want to end your session?"
"OK"	"OK"
"[english]OK"	"OK"
"Cancel"	"Avbryt"
"[english]Cancel"	"Cancel"
"IconEmail"	"E-post"
"[english]IconEmail"	"Email"
"IconLogOff"	"Logga ut"
"[english]IconLogOff"	"Log Off"
"IconDoorUnlock"	"Lås upp dörr"
"[english]IconDoorUnlock"	"Door Unlock"
"OnlyPrintIfNecessary"	"Värna om miljön. Skriv bara ut det här mejlet om du måste."
"[english]OnlyPrintIfNecessary"	"Save the environment. Only print this email if you have to."
"Incorrect"	"Tyvärr, det var inkorrekt."
"[english]Incorrect"	"Sorry, that was incorrect."
"SecretPetName"	"alex"
"[english]SecretPetName"	"alex"
"DialogGenerator"	"Generatorkontrollpanel"
"[english]DialogGenerator"	"Generator Console"
"DialogGeneratorOverHeat"	"VARNING: GENERATORN ÖVERHETTAS"
"[english]DialogGeneratorOverHeat"	"WARNING: GENERATOR OVERHEATING"
"DialogGeneratorDisconnect"	"LOGGA UT FRÅN GENERATORNS KONTROLLPANEL"
"[english]DialogGeneratorDisconnect"	"LOG OUT OF GENERATOR CONSOLE"
"YantoWardName"	"Yanto Ward"
"[english]YantoWardName"	"Yanto Ward"
"YantoWardAccount"	"Yanto Ward < yanto.ward@arque.local >"
"[english]YantoWardAccount"	"Yanto Ward < yanto.ward@arque.local >"
"Pets_R_Us_Update"	"Uppdatering från Pets Are Us"
"[english]Pets_R_Us_Update"	"Pets Are Us Update"
"Pets_R_Us_UpdateSummary"	"Herr Ward, Alex har återhämtat sig..."
"[english]Pets_R_Us_UpdateSummary"	"Mr Ward, Alex has recovered..."
"Pets_R_Us_From"	"Pets Are Us < judy@petsrus.com >"
"[english]Pets_R_Us_From"	"Pets Are Us < judy@petsrus.com >"
"Pets_R_Us_Line1"	"Herr Ward,"
"[english]Pets_R_Us_Line1"	"Mr Ward,"
"Pets_R_Us_Line2"	"Din hund Alex återhämtar sig och har svarat mycket bra på de läkemedel vi gett honom."
"[english]Pets_R_Us_Line2"	"Your dog Alex is recovering and has responded very well to the drugs we have been giving him."
"Pets_R_Us_Line3"	"Du kommer kunna hämta upp Alex på måndag."
"[english]Pets_R_Us_Line3"	"You will be able to collect Alex on Monday."
"Pets_R_Us_Line4"	"Tack,"
"[english]Pets_R_Us_Line4"	"Thanks,"
"Pets_R_Us_Line5"	"Judy Ferrand."
"[english]Pets_R_Us_Line5"	"Judy Ferrand."
"WhatIsThatSmell"	"VAD ÄR DET SOM LUKTAR"
"[english]WhatIsThatSmell"	"WHAT IS THAT SMELL"
"Srsly"	"seriöst"
"[english]Srsly"	"seriously"
"NigelHeathcoat"	"Nigel Heathcoat < nigel@arque.local >"
"[english]NigelHeathcoat"	"Nigel Heathcoat < nigel@arque.local >"
"HaveYouSeenMyLunch"	"Har du sett min lunch?"
"[english]HaveYouSeenMyLunch"	"Have you seen my lunch?"
"HaveYouSeenMyLunchSummary"	"Hej, har du sett min..."
"[english]HaveYouSeenMyLunchSummary"	"Hey, Have you seen my..."
"FrancisRobella"	"Francis Robella < francis@arque.local >"
"[english]FrancisRobella"	"Francis Robella < francis@arque.local >"
"FrancisRobellaLine1"	"Hej,"
"[english]FrancisRobellaLine1"	"Hey,"
"FrancisRobellaLine2"	"Har du sett min lunch? Jag lämnade den i kylen och nu är den borta. Om hon har tagit den igen kommer jag få en knäpp. Hon snor alltid mina saker!"
"[english]FrancisRobellaLine2"	"Have you seen my lunch? I left it in the fridge and it's gone. If she's stolen it again i'll snap. She's always stealing my things!"
"FrancisRobellaLine3"	"Francis"
"[english]FrancisRobellaLine3"	"Francis"
"PleaseEnterSecretAnswer"	"Var god svara på den hemliga frågan för att fortsätta:"
"[english]PleaseEnterSecretAnswer"	"Please enter the answer to the secret question to continue:"
"NameOfPet"	"Vad heter ditt husdjur?"
"[english]NameOfPet"	"What is the name of your pet?"
"UnlockAllDoorsPrompt"	"Använd knappen nedan för att låsa upp alla dörrar på våning Gul."
"[english]UnlockAllDoorsPrompt"	"Use the button below to unlock all doors on yellow floor."
"UnlockAllDoors"	"Lås upp alla dörrar"
"[english]UnlockAllDoors"	"Unlock All Doors"
"DoorsAreUnlocked"	"Alla dörrar på våning Gul är nu upplåsta."
"[english]DoorsAreUnlocked"	"All doors on yellow floor are currently unlocked."
"Image1"	"IMG_0270_104942.JPEG"
"[english]Image1"	"IMG_0270_104942.JPEG"
"Image2"	"IMG_0430_104912.JPEG"
"[english]Image2"	"IMG_0430_104912.JPEG"
"Image3"	"IMG_0430_104944.JPEG"
"[english]Image3"	"IMG_0430_104944.JPEG"
"Image4"	"IMG_0470_104454.JPEG"
"[english]Image4"	"IMG_0470_104454.JPEG"
"Image5"	"IMG_0437_104954.JPEG"
"[english]Image5"	"IMG_0437_104954.JPEG"
"Image6"	"IMG_0440_104964.JPEG"
"[english]Image6"	"IMG_0440_104964.JPEG"
"Image7"	"IMG_0437_104964.JPEG"
"[english]Image7"	"IMG_0437_104964.JPEG"
"Image8"	"IMG_034324_432432.MP4"
"[english]Image8"	"IMG_034324_432432.MP4"
"ChristianPlitheName"	"Christian Plithe"
"[english]ChristianPlitheName"	"Christian Plithe"
"ChristianPlitheAccount"	"Christian Plithe < christian.plithe@arque.local >"
"[english]ChristianPlitheAccount"	"Christian Plithe < christian.plithe@arque.local >"
"LunchRoomTitle"	"Lunchrummet"
"[english]LunchRoomTitle"	"Lunch Room"
"LunchRoomSummary"	"Christian, jag kan inte sluta..."
"[english]LunchRoomSummary"	"Christian, I can't stop..."
