"lang"
{
"Language"	"norwegian"
"Tokens"
{
"Close"	"Lukk"
"[english]Close"	"Close"
"CreditsWithThanksTo"	"Med takk til"
"[english]CreditsWithThanksTo"	"With thanks to"
"CreditsTeam"	"Lag"
"[english]CreditsTeam"	"Team"
"CreditsMainMenu"	"Gå til hovedmeny"
"[english]CreditsMainMenu"	"Go to main menu"
"CreditsCreator"	"Skaper"
"[english]CreditsCreator"	"Creator"
"CreditsVoices"	"Stemmer"
"[english]CreditsVoices"	"Voices"
"CreditsPreviousVoices"	"Tidligere stemmer"
"[english]CreditsPreviousVoices"	"Previous Voices"
"CreditsTranslators"	"Oversettere"
"[english]CreditsTranslators"	"Translators"
"CreditsTesters"	"Testere"
"[english]CreditsTesters"	"Testers"
"CreditsMacOSBuild"	"Mac OS-versjon"
"[english]CreditsMacOSBuild"	"Mac OS Version"
"CreditsDanishTranslator"	"Dansk oversetter"
"[english]CreditsDanishTranslator"	"Danish Translator"
"CreditsMapCompiler"	"Kartkompilator"
"[english]CreditsMapCompiler"	"Map Compiler"
"CreditsTranslator"	"Oversetter"
"[english]CreditsTranslator"	"Translator"
"CreditsTester"	"Tester"
"[english]CreditsTester"	"Tester"
"CreditsPhotographer"	"Fotograf"
"[english]CreditsPhotographer"	"Photographer"
"CreditsGuitarSamples"	"Gitarprøver"
"[english]CreditsGuitarSamples"	"Guitar Samples"
"CreditsProjectLead"	"Prosjektleder"
"[english]CreditsProjectLead"	"Project Lead"
"CreditsLevelDesigner"	"Nivådesigner"
"[english]CreditsLevelDesigner"	"Level Designer"
"CreditsProgrammer"	"Programmerer"
"[english]CreditsProgrammer"	"Programmer"
"CreditsStoryDesigner"	"Historiedesigner"
"[english]CreditsStoryDesigner"	"Story Designer"
"CreditsTextureArtist"	"Teksturartist"
"[english]CreditsTextureArtist"	"Texture Artist"
"CreditsModelArtist"	"3D-artist"
"[english]CreditsModelArtist"	"3D Model Artist"
"CreditsVoiceOf"	"Stemmen til"
"[english]CreditsVoiceOf"	"Voice of"
"CreditsLeadMusician"	"Musikkleder"
"[english]CreditsLeadMusician"	"Lead Musician"
"CreditsShaderArtist"	"Skyggeleggingsartist"
"[english]CreditsShaderArtist"	"Shader Artist"
"CreditsOmnicorpThug"	"Arque-skurk"
"[english]CreditsOmnicorpThug"	"Arque Thug"
"CreditsOmnicorpBroadcaster"	"Arque-oppleser"
"[english]CreditsOmnicorpBroadcaster"	"Arque Broadcaster"
"CreditsMirrorHosting"	"Vertskap for nedlastingsspeil"
"[english]CreditsMirrorHosting"	"Download Mirror Hosting"
"CreditsAudioDesigner"	"Lyddesigner"
"[english]CreditsAudioDesigner"	"Audio Designer"
"CreditsOculusRift"	"Donerte Oculus Rift"
"[english]CreditsOculusRift"	"Donated Oculus Rift"
"CreditsDonors"	"Prosjektdonorer"
"[english]CreditsDonors"	"Project Donors"
"CreditsSteamTranslation"	"Steam Translation Server"
"[english]CreditsSteamTranslation"	"The Steam Translation Server"
"Workstation"	"Arbeidsstasjon"
"[english]Workstation"	"Workstation"
"EndSession"	"Ønsker du å avslutte økten din?"
"[english]EndSession"	"Do you want to end your session?"
"OK"	"OK"
"[english]OK"	"OK"
"Cancel"	"Avbryt"
"[english]Cancel"	"Cancel"
"IconEmail"	"E-post"
"[english]IconEmail"	"Email"
"IconLogOff"	"Logg av"
"[english]IconLogOff"	"Log Off"
"IconDoorUnlock"	"Lås opp dør"
"[english]IconDoorUnlock"	"Door Unlock"
"OnlyPrintIfNecessary"	"Spar miljøet. Skriv ut denne e-posten kun hvis du må det."
"[english]OnlyPrintIfNecessary"	"Save the environment. Only print this email if you have to."
"Incorrect"	"Beklager, det var feil."
"[english]Incorrect"	"Sorry, that was incorrect."
"SecretPetName"	"alex"
"[english]SecretPetName"	"alex"
"DialogGenerator"	"Generatorkonsoll"
"[english]DialogGenerator"	"Generator Console"
"DialogGeneratorOverHeat"	"ADVARSEL: GENERATOR OVEROPPHETES"
"[english]DialogGeneratorOverHeat"	"WARNING: GENERATOR OVERHEATING"
"DialogGeneratorDisconnect"	"LOGG UT AV GENERATORKONSOLL"
"[english]DialogGeneratorDisconnect"	"LOG OUT OF GENERATOR CONSOLE"
"YantoWardName"	"Yanto Ward"
"[english]YantoWardName"	"Yanto Ward"
"YantoWardAccount"	"Yanto Ward < yanto.ward@arque.local >"
"[english]YantoWardAccount"	"Yanto Ward < yanto.ward@arque.local >"
"Pets_R_Us_Update"	"Oppdatering fra Pets Are Us"
"[english]Pets_R_Us_Update"	"Pets Are Us Update"
"Pets_R_Us_UpdateSummary"	"Mr. Ward, Alex er på bedringens vei..."
"[english]Pets_R_Us_UpdateSummary"	"Mr Ward, Alex has recovered..."
"Pets_R_Us_From"	"Pets Are Us < judy@petsrus.com >"
"[english]Pets_R_Us_From"	"Pets Are Us < judy@petsrus.com >"
"Pets_R_Us_Line1"	"Mr. Ward,"
"[english]Pets_R_Us_Line1"	"Mr Ward,"
"Pets_R_Us_Line2"	"Hunden din, Alex, er på bedringens vei og har reagert svært bra på de legemidlene vi har gitt ham."
"[english]Pets_R_Us_Line2"	"Your dog Alex is recovering and has responded very well to the drugs we have been giving him."
"Pets_R_Us_Line3"	"Du kan komme og hente Alex på mandag."
"[english]Pets_R_Us_Line3"	"You will be able to collect Alex on Monday."
"Pets_R_Us_Line4"	"Takk,"
"[english]Pets_R_Us_Line4"	"Thanks,"
"Pets_R_Us_Line5"	"Judy Ferrand."
"[english]Pets_R_Us_Line5"	"Judy Ferrand."
"WhatIsThatSmell"	"HVA ER DEN LUKTEN"
"[english]WhatIsThatSmell"	"WHAT IS THAT SMELL"
"Srsly"	"seriøst"
"[english]Srsly"	"seriously"
"NigelHeathcoat"	"Nigel Heathcoat < nigel@arque.local >"
"[english]NigelHeathcoat"	"Nigel Heathcoat < nigel@arque.local >"
"HaveYouSeenMyLunch"	"Har du sett lunsjen min?"
"[english]HaveYouSeenMyLunch"	"Have you seen my lunch?"
"HaveYouSeenMyLunchSummary"	"Hei, har du sett..."
"[english]HaveYouSeenMyLunchSummary"	"Hey, Have you seen my..."
"FrancisRobella"	"Francis Robella < francis@arque.local >"
"[english]FrancisRobella"	"Francis Robella < francis@arque.local >"
"FrancisRobellaLine1"	"Hei,"
"[english]FrancisRobellaLine1"	"Hey,"
"FrancisRobellaLine2"	"Har du sett lunsjen min? Jeg la den i kjøleskapet og nå er den borte. Hvis hun har stjålet det igjen så klikker jeg. Hun stjeler alltid tingene mine!"
"[english]FrancisRobellaLine2"	"Have you seen my lunch? I left it in the fridge and it's gone. If she's stolen it again i'll snap. She's always stealing my things!"
"FrancisRobellaLine3"	"Francis"
"[english]FrancisRobellaLine3"	"Francis"
"PleaseEnterSecretAnswer"	"Vennligst tast inn svaret på det hemmelige spørsmålet for å fortsette:"
"[english]PleaseEnterSecretAnswer"	"Please enter the answer to the secret question to continue:"
"NameOfPet"	"Hva er navnet på kjæledyret ditt?"
"[english]NameOfPet"	"What is the name of your pet?"
"UnlockAllDoorsPrompt"	"Bruk knappen nedenfor for å låse opp alle dører på gul etasje."
"[english]UnlockAllDoorsPrompt"	"Use the button below to unlock all doors on yellow floor."
"UnlockAllDoors"	"Lås opp alle dører"
"[english]UnlockAllDoors"	"Unlock All Doors"
"DoorsAreUnlocked"	"Alle dører på gul etasje er for øyeblikket låst opp."
"[english]DoorsAreUnlocked"	"All doors on yellow floor are currently unlocked."
"Image1"	"IMG_0270_104942.JPEG"
"[english]Image1"	"IMG_0270_104942.JPEG"
"Image2"	"IMG_0430_104912.JPEG"
"[english]Image2"	"IMG_0430_104912.JPEG"
"Image3"	"IMG_0430_104944.JPEG"
"[english]Image3"	"IMG_0430_104944.JPEG"
"Image4"	"IMG_0470_104454.JPEG"
"[english]Image4"	"IMG_0470_104454.JPEG"
"Image5"	"IMG_0437_104954.JPEG"
"[english]Image5"	"IMG_0437_104954.JPEG"
"Image6"	"IMG_0440_104964.JPEG"
"[english]Image6"	"IMG_0440_104964.JPEG"
"Image7"	"IMG_0437_104964.JPEG"
"[english]Image7"	"IMG_0437_104964.JPEG"
"Image8"	"IMG_034324_432432.MP4"
"[english]Image8"	"IMG_034324_432432.MP4"
"ChristianPlitheName"	"Christian Plithe"
"[english]ChristianPlitheName"	"Christian Plithe"
"ChristianPlitheAccount"	"Christian Plithe < christian.plithe@arque.local >"
"[english]ChristianPlitheAccount"	"Christian Plithe < christian.plithe@arque.local >"
"LunchRoomTitle"	"Lunsjrom"
"[english]LunchRoomTitle"	"Lunch Room"
"LunchRoomSummary"	"Christian, jeg kan ikke stoppe..."
"[english]LunchRoomSummary"	"Christian, I can't stop..."
